Account,8329 Era,8339 Era,8357 Era,8391 Era,8396 Era,Total
5DhkXVhY59Ph3DTjPvMSZF8T5d5QRbWK49LFDMCckMUYsG42,658,8161,8041,4508,5144,26512
5DfmbaBJ2JkzAbf94nQPzfNsdeGXpF3gKTAqM5QxBJZT4zjn,3619,31551,44265,16691,18906,115032
5EDFXFbv51Qda3xrqaze3n5oZCHfgTkLTMj8zSVMiw3mgPjn,810,10053,9905,5553,6336,32657
5HBozvVcPhvSvMgJX3y8zUFjf892iLhCcdeGr82EhsKgFFo8,468,0,5720,0,0,6188
5CqL5vB4u2zm9VzMQGprzSMj6Ld8vfEgUuTj39q3EZtujsWs,32050,397947,392089,219811,250807,1292704
5Ec3R3UD7RTALFy5obnrGNARjrCesaii699GBHMWtoDS1YhZ,598,0,0,0,0,598
5FsZHDCJhiCX4Zw6rcZfsqZL7ards2389z4u8AnhRDSjWt1m,158721,1970743,1941732,1088565,1242063,6401824
5GRQGTHjbbV6URXDoyFsADu3Ma1hcekaCKK86ERZnLgEPAT7,652,8086,7967,4467,5097,26269
5EUG4Cdn5NVnZBxLhLVgqyZezHhsihxjaTWSSTMyBpkUCenU,916,11370,11203,6281,7166,36936
5DXhp17zuTL8EJvYpYZy1LexBRjBme2LqtJth4q8NRjdSzQ1,4579,56850,56013,31402,35830,184674
5FtC3AKAFS3SqhEUjSGXag46sVErs3e32XeqRtrWSimkA5Pg,465,0,5688,0,0,6153
5C831Js8xLcZpjKMqFA9H8oQP3FKtvYukymUwEwwJFs2Uwm8,5495,68220,67216,0,0,140931
5G27oms6XpMZ5em9JT2BcerYLHhR9hMyjwf2xrDqYnDSkrHz,770,9561,9420,5281,6026,31058
5GuchGEStk26b8XdSmqH1CbQTVFQNk1aTp5wyRVvutgqRg1e,649,0,7935,4449,5076,18109
5EWe8xWXBAk4dAom1zhsXkNSE9FZq6woxWBshLCMGf9BAUyS,8868,110099,108479,60815,69390,357651
5HYow1Mzhm91iBGQPA75J2tmvDHKZcKzEpwbBKPQtWKNpT2Q,1072,259804,124841,150542,227651,763910
5HDkqkvSoKvFmNFzMSQN7611p1mNPDknnhjJDiePZv7gQqXv,1505,18675,18400,0,0,38580
5FWkamfFkRgiJcu3CLeDEq8zoadxRctLdt6tFbRLVCdVjHLq,17457,216746,213556,119723,136605,704087
5CZem6XsW7Dqvby5dz1EBtwQ6XWBcB1T2JpZGQvWcXqDng1T,2290,28425,28007,15701,17915,92338
5FzzfW5VYaUCb6deYVGDKEqqrUoBaH7dMuGV3uwAGHKbCxMb,6283,78008,76860,43089,0,204240
5CA6BoQEwSTYCz2vXWUSaX294dPaJR5iKi6XMrDuBx8nK1gB,11974,148672,146484,82121,93701,482952
5DyYa5h6wvsWkTo5Ewi32ziimYH2jv7NtsNcimV4j2tPAcJy,494,0,6036,0,0,6530
5GRBok6NgqCekLpSm6ujuHautEkSnTMp5tgpLfsgXxQj3a8T,2582,32056,31584,17707,20203,104132
5GH2Bmg6ZL1FjE41QBzs9HEJVdjVYQheUTS9CastwgGXHyKQ,4675,58036,57182,32057,36577,188527
5CLthFJN3FgEw8GYv8DnJS5YJTCbfZ6oPpxfnYZrc5HE1Qkq,6189,76844,75713,42446,48431,249623
5Fzs3aXgh7YVgvfpjkgbhfeRZDpbHNT4jbPhYT2vAjoGt9NK,3342,41494,40883,22920,26152,134791
5GgPKAhrNfvqF45jbS8eFse52CbZYVjC6yc8bEmSvNaKTowu,4579,37733,56013,16721,18688,133734
5FZBgnGwYrBAkAAsfY6YgYVvDRizMYUUb4fZDDJsbCh83qkA,7449,92479,91118,51082,58285,300413
5F6iVFfo2d5Mt7MKkQNkwHozCTg9RVG1R3Awn7GewusDcPc2,5830,72385,71319,39983,45621,235138
5Dev5dLekekY7dp3DFAmbyhjaFTtzfrTWUqGNYKDx1AMDr8m,5410,67170,66181,37102,42334,218197
5HdcHtgWBYFbE6YHH9kNA8n83zrDAPG6fg6JRXhMBs2wmMkq,458,0,5602,77894,0,83954
5C7sYeSqKtJTaniXCYyobxppnnC8yupesZ48RrfhRVTkxwWa,4579,37733,56013,16721,18688,133734
5EU2GEjekexMfnvqXyaFBpvxXU2WH4eL8YoWcJdeS51jcP2S,672,8335,8212,4604,5253,27076
5FpUHQbgL57mde7WWZmAPB4s9nsPbyisHkuRDaYSNTCT3S3X,22893,284248,280064,157008,179148,923361
5EjimGLr6N5pGtHn1d961SqtNwWhfGuQbxfpBj9awUiJmnrZ,4552,91764,63985,38426,45020,243747
5FCimx5ss2iVBr4yPKSx5V16PEX4CM5zJGC2gQM6vdeC6crM,6653,82604,81388,45628,52061,268334
5FLY8hX8jom6hthiyi8bEzcRrVz6x1iaJK3A7HvhGfCr6vpc,2290,28425,28007,15701,17915,92338
5HC9gdLgq5YE8wZZU2cbwGAqV2aeXz5UqLuWKKhQ8HQZwv4d,504,46744,32357,56174,69421,205200
5Ew7cW4tUbj3Caoj8Jk2tPjmRRKp8WfcQ7eofvdJAeBQCXyd,4580,1610205,868835,0,0,2483620
5DkVDGGKYkiWR5jg3pws3ZHrD75k4mgTvnmMbb9nMaYAY86C,1638,20338,20039,11234,12819,66068
5EFYmDxjwExaBhSdGJsyfRmiqQ2B4ygKMj9JmTbRdXUNXdJA,916,11370,11203,6281,7166,36936
5Eqcnd11EKkp73enEDaqy9Mz8GVy1oCUuTxjPxKqTLaEtZYN,2232,27704,27296,15303,17461,89996
5HKmKxHLQb1YPJRQkRJD7FcLFSQRQps26CPddDoH4yGSJtpQ,764,9475,9336,0,0,19575
5GsgnUyQQwuE8M5wTCw1zqaCUbDfzbkq3M31biSdejyrF4ya,550,0,6722,3769,4300,15341
5H3HwiNA2Z1PLwkKSevGqNmzYS4rt1jtxU4LcBQ1dRhQKpNR,4157,51612,50852,28509,32529,167659
5HSsRUqU7kmE4Hd4rE4ddbRAwnuLgcFbnq4zKM11F45kRVx3,458,0,5602,0,0,6060
5HThwJqXqhSXwuQdAg9sYjgVtUVM8qb9faqkC4knse4XMVNF,3346,41540,40928,22945,26181,134940
5H6e5BEvsZtyQRAw4jkCrjx22c8F2tucSfHaV6xB9GCAP1qp,9616,119388,117630,65946,75245,387825
5ECexjXggDkeoe7j5kWQQEELUsNbe5CuQhASMNxSE9DVYxTe,1389,17238,16985,9522,10865,55999
5Chtth119MsVWh8WhDcDXrCAZd51hSASrWXdE5XfZDpqhhrZ,3434,1388263,562086,606965,759168,3319916
5HEwY38ET2DDpZhiesRGjhZeBgNpnW5LP9tMcefxWhTyurNn,5898,73223,72145,40446,46149,237861
5G4Km8G8QcQsHsWznYDgiVRp9vxh2T6avGJ2UowHgyfybKsJ,3125,38791,38220,21427,24448,126011
5GMukHxUM4q4ty24Af1vLCiZZgNX16xkvN2LNnaZRkH73A31,458,0,5602,0,0,6060
5CJuconMyQR5idzwFJVVRKUgdSjt2YNA4oavnwZm7rCm85MB,21173,262885,259015,145208,165684,853965
5HBRdSr5taPkfwrmaqMNGDWvV7MkDzQ7NxPknTRYPZKSDNCP,1092,13549,13350,7484,8540,44015
5G6UJgYtLAcAP3vARZvV14ia6ZJk3b9h6jGB3EN3PmXSMVgu,20772,257911,254114,142460,162549,837806
5DFzLBqPkqRfHRHLrNCEzckQ1os1bpbWBYFCvLwR1SvXd9Hc,14066,174633,160859,0,0,349558
5H1hu9oyxjKjRnFvL2sKEuAC4dZSQJANiiTT7tL5GTcnvgYr,458,0,5602,0,0,6060
5EWyv6ncbRzyrWzaGA1WGGNunzfBE5VhD3GhC9AvfAEnMCdk,1391,17269,17014,9539,10884,56097
